Implementation smell,Namespace,Class,File,Method,Description
Complex Method,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,Cyclomatic complexity of the method is 11
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The length of the statement  "            http.DefaultRequestHeaders.TryAddWithoutValidation ("X-WNS-Type"' string.Format ("wns/{0}"' notification.Type.ToString().ToLower ())); " is 134.
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The length of the statement  "                http.DefaultRequestHeaders.TryAddWithoutValidation ("X-WNS-RequestForStatus"' notification.RequestForStatus.Value.ToString().ToLower()); " is 136.
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The length of the statement  "                http.DefaultRequestHeaders.TryAddWithoutValidation ("X-WNS-TTL"' notification.TimeToLive.Value.ToString()); //Time to live in seconds " is 133.
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The length of the statement  "                    http.DefaultRequestHeaders.Add("X-WNS-Cache-Policy"' winTileNot.CachePolicy == WnsNotificationCachePolicyType.Cache ? "cache" : "no-cache"); " is 140.
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The length of the statement  "                    http.DefaultRequestHeaders.Add("X-WNS-Cache-Policy"' winTileBadge.CachePolicy == WnsNotificationCachePolicyType.Cache ? "cache" : "no-cache"); " is 142.
Long Statement,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,ParseStatus,The length of the statement  "            var wnsNotificationStatus = TryGetHeaderValue (resp.Headers' "X-WNS-NOTIFICATIONSTATUS") ?? TryGetHeaderValue(resp.Headers' "X-NOTIFICATIONSTATUS") ?? "" ; " is 155.
Long Statement,PushSharp.Windows,WnsAccessTokenManager,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsTokenAccessManager.cs,RenewAccessToken,The length of the statement  "                throw new UnauthorizedAccessException ("Could not retrieve access token for the supplied Package Security Identifier (SID) and client secret"); " is 143.
Empty Catch Block,PushSharp.Windows,WnsAccessTokenManager,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsTokenAccessManager.cs,RenewAccessToken,The method has an empty catch block.
Magic Number,PushSharp.Windows,WnsServiceConnection,C:\repos\Redth_PushSharp\PushSharp.Windows\WnsConnection.cs,Send,The following statement contains a magic number: if (status.HttpStatus == HttpStatusCode.Unauthorized) {                  AccessTokenManager.InvalidateAccessToken (accessToken);                  throw new RetryAfterException (notification' "Access token expired"' DateTime.UtcNow.AddSeconds (5));              }
