Implementation smell,Namespace,Class,File,Method,Description
Long Statement,EventSourceSamples,ConsoleEventListener,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\00_CommonListener.cs,OnEventWritten,The length of the statement  "            //                                  eventData.RelatedActivityId != Guid.Empty ? "->" + ShortGuid(eventData.RelatedActivityId) : ""); " is 132.
Long Statement,EventSourceSamples,EventLogEventSourceDemo,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,Run,The length of the statement  "            DeploymentFolder = Path.Combine(Environment.GetFolderPath(Environment.SpecialFolder.CommonApplicationData)' @"EventSourceSamples"); " is 131.
Long Statement,EventSourceSamples,LocalizedEventLogEventSourceDemo,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\50_LocalizedEventLogEventSource.cs,Run,The length of the statement  "            DeploymentFolder = Path.Combine(Environment.GetFolderPath(Environment.SpecialFolder.CommonApplicationData)' @"EventSourceSamples"); " is 131.
Magic Number,EventSourceSamples,ConsoleEventListener,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\00_CommonListener.cs,ShortGuid,The following statement contains a magic number: return guid.ToString().Substring(0' 8);
Magic Number,EventSourceSamples,CustomizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\20_CustomizedEventSource.cs,RequestPhase,The following statement contains a magic number: WriteEvent(2' RequestID' PhaseName);
Magic Number,EventSourceSamples,CustomizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\20_CustomizedEventSource.cs,RequestStop,The following statement contains a magic number: WriteEvent(3' RequestID);
Magic Number,EventSourceSamples,CustomizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\20_CustomizedEventSource.cs,DebugTrace,The following statement contains a magic number: WriteEvent(4' Message);
Magic Number,EventSourceSamples,CustomizedEventSourceDemo,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\20_CustomizedEventSource.cs,Run,The following statement contains a magic number: DoRequest("/home/catalog/121"' 2);
Magic Number,EventSourceSamples,CustomizedEventSourceDemo,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\20_CustomizedEventSource.cs,Run,The following statement contains a magic number: DoRequest("/home/catalog/144"' 3);
Magic Number,EventSourceSamples,EventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,RequestPhase,The following statement contains a magic number: WriteEvent(2' RequestID' PhaseName);
Magic Number,EventSourceSamples,EventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,RequestStop,The following statement contains a magic number: WriteEvent(3' RequestID);
Magic Number,EventSourceSamples,EventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,DebugTrace,The following statement contains a magic number: WriteEvent(4' Message);
Magic Number,EventSourceSamples,RegisterEventSourceWithOperatingSystem,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,SimulateInstall,The following statement contains a magic number: Process.Start(new ProcessStartInfo("wevtutil.exe"' "um" + commandArgs.Substring(2)) { Verb = "runAs" }).WaitForExit();
Magic Number,EventSourceSamples,RegisterEventSourceWithOperatingSystem,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,SimulateInstall,The following statement contains a magic number: Thread.Sleep(200);
Magic Number,EventSourceSamples,RegisterEventSourceWithOperatingSystem,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\30_EventLogEventSource.cs,SimulateInstall,The following statement contains a magic number: System.Threading.Thread.Sleep(1000);
Magic Number,EventSourceSamples,LocalizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\40_LocalizedEventSource.cs,RequestPhase,The following statement contains a magic number: WriteEvent(2' RequestID' PhaseName);
Magic Number,EventSourceSamples,LocalizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\40_LocalizedEventSource.cs,RequestStop,The following statement contains a magic number: WriteEvent(3' RequestID);
Magic Number,EventSourceSamples,LocalizedEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\40_LocalizedEventSource.cs,DebugTrace,The following statement contains a magic number: WriteEvent(4' Message);
Magic Number,EventSourceSamples,LocalizedEventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\50_LocalizedEventLogEventSource.cs,RequestPhase,The following statement contains a magic number: WriteEvent(2' RequestID' PhaseName);
Magic Number,EventSourceSamples,LocalizedEventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\50_LocalizedEventLogEventSource.cs,RequestStop,The following statement contains a magic number: WriteEvent(3' RequestID);
Magic Number,EventSourceSamples,LocalizedEventLogEventSource,D:\research\architectureSmells\repos\Microsoft_dotnetsamples\Microsoft.Diagnostics.Tracing\EventSource\EventSource\50_LocalizedEventLogEventSource.cs,DebugTrace,The following statement contains a magic number: WriteEvent(4' Message);
